ticker,display_name,handle,post_text,timestamp_x,comments,likes,views,market_cap,real_traders,total_holders,volume,insider_percentage,dev_status,top_10_holding,sniper_count,timestamp_y,address
GGC,クサツバカ,kusadzu_mania,ggc草津温泉門店へ。ggcのオーナーさんがスキーの時に夕食難民になりかけた経験から、こちらの店舗を始めるに至った、とのことで、『ここがやってる安心感』はツヨイ(現在月曜定休)。まあシルバーバックもあるんだけど、車で来てると湯畑周りはあんまりアクセス良くないしね。,2025-01-15T07:22:05.000Z,0,11,197,$63K,216,216,$14K,73%,9%,9%,1,7h,GFtK5ckyHA6kMgKkftEQcPHE4Hfq1oQjuKULSG8Jmoon
GGC,Gabriel C,GGCVegan,"Would you rather:

A) PS5
B) 500 XRP
C) A Bag of MEME COINS That we bought?

You can have these; if you enter 
@DigitalPalm
 CoreBit Camels Contest this month. Ends Jan 31st
Mint A CoreBit Camel for your spot!
Join our Discord for more Info & giveaways/contests!",2025-01-15T09:42:21.000Z,1,8,225,$63K,216,216,$14K,73%,9%,9%,1,7h,GFtK5ckyHA6kMgKkftEQcPHE4Hfq1oQjuKULSG8Jmoon
GGC,｢ ℞ 𝘅 ｣,RxProSlot_v2,"#สมาชิกใหม่

Code : 64290491

กติกาไม่ทำ = ตัดสิทธิ์
รีทวิต + ถูกใจ + เม้น #แจกจริง

สมัคร › http://nmwit.ac.th/-PTUYk",2025-01-14T21:49:41.000Z,5,7,884,$63K,216,216,$14K,73%,9%,9%,1,7h,GFtK5ckyHA6kMgKkftEQcPHE4Hfq1oQjuKULSG8Jmoon
GGC,GGC,Godgemscrypto,"Godlike snipe under $200k 

BDfP6bWSwNamC4LbYkzC4C5GBwFdKptGiDPXRqmCpump

#089981 $089981",2025-01-13T23:25:23.000Z,1,11,1600,$63K,216,216,$14K,73%,9%,9%,1,7h,GFtK5ckyHA6kMgKkftEQcPHE4Hfq1oQjuKULSG8Jmoon
GGC,Gabriel C,GGCVegan,"What do you do when nobody is watching?

What kind of character are you?

What's your tribe like?",2025-01-13T12:24:26.000Z,0,3,95,$63K,216,216,$14K,73%,9%,9%,1,7h,GFtK5ckyHA6kMgKkftEQcPHE4Hfq1oQjuKULSG8Jmoon
HCF,Hindu Canadian Foundation (HCF),officialHinduCF,"Join us in celebrating the restoration of Shri Ram Mandir on January 18, 2025, at the Hindu Sabha Temple. This is a momentous occasion for all devotees to come together and honor our shared cultural and spiritual heritage.

Let’s unite in devotion and joy as we mark this",2025-01-14T02:12:51.000Z,2,10,402,$56K,177,177,$47K,1%,24%,24%,4,1h,CnkfJjmcgAtQLqEzxPSnWxpCnggqwK3eVhGzbxjnpump
HCF,Allu Arjun FC,AlluArjunHCF,"The Wildfire Gets More Firey 

Reloaded Version 

Sandhya 70MM 17th Jan 10AM bookings 
Vimal 70MM 17th Jan 8AM Bookings 

#Pushpa2Reloaded #Pushpa2TheRule 
@alluarjun",2025-01-15T16:01:34.000Z,0,307,2100,$56K,177,177,$47K,1%,24%,24%,4,1h,CnkfJjmcgAtQLqEzxPSnWxpCnggqwK3eVhGzbxjnpump
HCF,RamCharan Fans,RamCharan_HCF,Happy Sankranthi,2025-01-14T05:00:06.000Z,0,3,121,$56K,177,177,$47K,1%,24%,24%,4,1h,CnkfJjmcgAtQLqEzxPSnWxpCnggqwK3eVhGzbxjnpump
HCF,HCF,GxlDeKetu,"Destrozado, exterminado, pulverizado, desintegrado, demolido, abatido, arrasado, derribado, devastado, desbaratado, arruinado, aniquilado. Y todo eso os ha pasado en Alicante.",2025-01-15T22:34:07.000Z,1,2,29,$56K,177,177,$47K,1%,24%,24%,4,1h,CnkfJjmcgAtQLqEzxPSnWxpCnggqwK3eVhGzbxjnpump
HCF,量産型ぱなか,w2Ng5hcfVI79715,#見た人は無言で着陸写真をあげる,2025-01-12T03:14:05.000Z,0,5,106,$56K,177,177,$47K,1%,24%,24%,4,1h,CnkfJjmcgAtQLqEzxPSnWxpCnggqwK3eVhGzbxjnpump
